Matrix,M,N,NZ,Mode,AvgTime(ms),MedianTime(ms),BestTime(ms),AvgGFlops,MedianGFlops,BestGFlops,Passed,Iterations
PR02R.mtx,161070,161070,8185136,cudaHLL,0.394104,0.393216,0.393088,41.537948,41.631753,41.645310,1,5
raefsky2.mtx,3242,3242,294276,serial,1.276250,1.276000,1.276000,0.461157,0.461248,0.461248,1,5
raefsky2.mtx,3242,3242,294276,cudaCSR,0.025576,0.025552,0.024576,23.011886,23.033500,23.948241,1,5
raefsky2.mtx,3242,3242,294276,cudaHLL,0.025072,0.025104,0.024800,23.474473,23.444550,23.731935,1,5
rdist2.mtx,3198,3198,56934,serial,0.254000,0.254000,0.254000,0.448299,0.448299,0.448299,1,5
rdist2.mtx,3198,3198,56934,cudaCSR,0.014344,0.014320,0.014016,7.938371,7.951676,8.124144,1,5
rdist2.mtx,3198,3198,56934,cudaHLL,0.015824,0.015856,0.015520,7.195905,7.181382,7.336856,1,5
roadNet-PA.mtx,1090920,1090920,3083796,serial,25.475500,25.467500,25.458000,0.242099,0.242175,0.242265,1,5
roadNet-PA.mtx,1090920,1090920,3083796,cudaCSR,0.189568,0.189200,0.187680,32.534985,32.598267,32.862275,1,5
roadNet-PA.mtx,1090920,1090920,3083796,cudaHLL,0.224448,0.224352,0.223232,27.478935,27.490693,27.628619,1,5
thermal1.mtx,82654,82654,574458,serial,3.323000,3.322500,3.321000,0.345747,0.345799,0.345955,1,5
thermal1.mtx,82654,82654,574458,cudaCSR,0.047480,0.047376,0.044960,24.197894,24.251013,25.554182,1,5
thermal1.mtx,82654,82654,574458,cudaHLL,0.038912,0.038720,0.038496,29.526007,29.672417,29.845076,1,5
thermal2.mtx,1228045,1228045,8580313,serial,55.094250,54.990000,54.826000,0.311478,0.312068,0.313002,1,5
thermal2.mtx,1228045,1228045,8580313,cudaCSR,0.572336,0.572592,0.569184,29.983481,29.970075,30.149523,1,5
thermal2.mtx,1228045,1228045,8580313,cudaHLL,0.434696,0.434144,0.432928,39.477303,39.527497,39.638522,1,5
thermomech_TK.mtx,102158,102158,711558,serial,4.701750,4.702000,4.700000,0.302678,0.302662,0.302791,1,5
thermomech_TK.mtx,102158,102158,711558,cudaCSR,0.056256,0.056064,0.053664,25.297142,25.383776,26.519008,1,5
thermomech_TK.mtx,102158,102158,711558,cudaHLL,0.050264,0.050576,0.049152,28.312828,28.138169,28.953368,1,5
webbase-1M.mtx,1000005,1000005,3105536,serial,20.976500,20.620999,20.532999,0.296097,0.301201,0.302492,1,5
webbase-1M.mtx,1000005,1000005,3105536,cudaCSR,0.431096,0.430576,0.429728,14.407631,14.425031,14.453496,1,5
webbase-1M.mtx,1000005,1000005,3105536,cudaHLL,1.660000,1.660960,1.653568,3.741610,3.739447,3.756164,1,5
west2021.mtx,2021,2021,7353,serial,0.044250,0.044000,0.044000,0.332339,0.334227,0.334227,1,5
west2021.mtx,2021,2021,7353,cudaCSR,0.009656,0.009536,0.008192,1.522991,1.542156,1.795166,1,5
west2021.mtx,2021,2021,7353,cudaHLL,0.009920,0.009984,0.009184,1.482460,1.472957,1.601263,1,5
