Matrix              ,M       ,N       ,NZ        ,Mode    ,AvgTime(ms) ,MedianTime(ms) ,BestTime(ms) ,AvgGFlops ,MedianGFlops ,BestGFlops ,Passed ,Iterations
olafu.mtx           ,  16146 ,  16146 ,  1015156 ,cudaHLL ,   0.055456 ,      0.055488 ,    0.055296 ,36.611223 ,   36.590109 ,36.717159  ,     1 ,         5
olm1000.mtx         ,   1000 ,   1000 ,     3996 ,serial  ,   0.023500 ,      0.023500 ,    0.023000 , 0.340085 ,    0.340085 ,0.347478   ,     1 ,         5
olm1000.mtx         ,   1000 ,   1000 ,     3996 ,cudaCSR ,   0.009344 ,      0.009248 ,    0.008480 , 0.855308 ,    0.864187 ,0.942453   ,     1 ,         5
olm1000.mtx         ,   1000 ,   1000 ,     3996 ,cudaHLL ,   0.009616 ,      0.009520 ,    0.009120 , 0.831115 ,    0.839496 ,0.876316   ,     1 ,         5
PR02R.mtx           , 161070 , 161070 ,  8185136 ,serial  ,  36.396249 ,     36.399498 ,   36.380001 , 0.449779 ,    0.449739 ,0.449980   ,     1 ,         5
PR02R.mtx           , 161070 , 161070 ,  8185136 ,cudaCSR ,   0.459664 ,      0.460016 ,    0.455968 ,35.613562 ,   35.586310 ,35.902239  ,     1 ,         5
PR02R.mtx           , 161070 , 161070 ,  8185136 ,cudaHLL ,   0.399704 ,      0.399216 ,    0.397824 ,40.955988 ,   41.006052 ,41.149535  ,     1 ,         5
raefsky2.mtx        ,   3242 ,   3242 ,   294276 ,serial  ,   1.271000 ,      1.271000 ,    1.271000 , 0.463062 ,    0.463062 ,0.463062   ,     1 ,         5
raefsky2.mtx        ,   3242 ,   3242 ,   294276 ,cudaCSR ,   0.066760 ,      0.065920 ,    0.065792 , 8.815937 ,    8.928276 ,8.945647   ,     1 ,         5
raefsky2.mtx        ,   3242 ,   3242 ,   294276 ,cudaHLL ,   0.034072 ,      0.034096 ,    0.033376 ,17.273773 ,   17.261614 ,17.633988  ,     1 ,         5
rdist2.mtx          ,   3198 ,   3198 ,    56934 ,serial  ,   0.255000 ,      0.255000 ,    0.255000 , 0.446541 ,    0.446541 ,0.446541   ,     1 ,         5
rdist2.mtx          ,   3198 ,   3198 ,    56934 ,cudaCSR ,   0.023888 ,      0.023824 ,    0.023328 , 4.766745 ,    4.779550 ,4.881173   ,     1 ,         5
rdist2.mtx          ,   3198 ,   3198 ,    56934 ,cudaHLL ,   0.021864 ,      0.021840 ,    0.021280 , 5.208013 ,    5.213736 ,5.350940   ,     1 ,         5
roadNet-PA.mtx      ,1090920 ,1090920 ,  3083796 ,serial  ,  25.609500 ,     25.594500 ,   25.586000 , 0.240832 ,    0.240973 ,0.241053   ,     1 ,         5
roadNet-PA.mtx      ,1090920 ,1090920 ,  3083796 ,cudaCSR ,   0.194312 ,      0.193552 ,    0.192416 ,31.740665 ,   31.865297 ,32.053426  ,     1 ,         5
roadNet-PA.mtx      ,1090920 ,1090920 ,  3083796 ,cudaHLL ,   0.228232 ,      0.228096 ,    0.227744 ,27.023345 ,   27.039457 ,27.081249  ,     1 ,         5
thermal1.mtx        ,  82654 ,  82654 ,   574458 ,serial  ,   3.320250 ,      3.320000 ,    3.319000 , 0.346033 ,    0.346059 ,0.346163   ,     1 ,         5
thermal1.mtx        ,  82654 ,  82654 ,   574458 ,cudaCSR ,   0.047944 ,      0.048016 ,    0.044960 ,23.963708 ,   23.927774 ,25.554182  ,     1 ,         5
thermal1.mtx        ,  82654 ,  82654 ,   574458 ,cudaHLL ,   0.040424 ,      0.040416 ,    0.040128 ,28.421630 ,   28.427256 ,28.631280  ,     1 ,         5
thermal2.mtx        ,1228045 ,1228045 ,  8580313 ,serial  ,  55.707751 ,     55.557501 ,   55.054001 , 0.308047 ,    0.308880 ,0.311705   ,     1 ,         5
thermal2.mtx        ,1228045 ,1228045 ,  8580313 ,cudaCSR ,   0.575728 ,      0.575520 ,    0.573600 ,29.806829 ,   29.817601 ,29.917410  ,     1 ,         5
thermal2.mtx        ,1228045 ,1228045 ,  8580313 ,cudaHLL ,   0.438528 ,      0.437408 ,    0.437056 ,39.132338 ,   39.232538 ,39.264135  ,     1 ,         5
thermomech_TK.mtx   , 102158 , 102158 ,   711558 ,serial  ,   4.711750 ,      4.712000 ,    4.710000 , 0.302036 ,    0.302020 ,0.302148   ,     1 ,         5
thermomech_TK.mtx   , 102158 , 102158 ,   711558 ,cudaCSR ,   0.059408 ,      0.059008 ,    0.057760 ,23.954955 ,   24.117340 ,24.638435  ,     1 ,         5
thermomech_TK.mtx   , 102158 , 102158 ,   711558 ,cudaHLL ,   0.048192 ,      0.047344 ,    0.047040 ,29.530129 ,   30.059058 ,30.253316  ,     1 ,         5
webbase-1M.mtx      ,1000005 ,1000005 ,  3105536 ,serial  ,  20.526500 ,     20.518500 ,   20.511000 , 0.302588 ,    0.302706 ,0.302817   ,     1 ,         5
webbase-1M.mtx      ,1000005 ,1000005 ,  3105536 ,cudaCSR ,   0.430688 ,      0.430912 ,    0.427712 ,14.421279 ,   14.413783 ,14.521622  ,     1 ,         5
webbase-1M.mtx      ,1000005 ,1000005 ,  3105536 ,cudaHLL ,   2.104960 ,      2.104720 ,    2.096864 , 2.950684 ,    2.951021 ,2.962077   ,     1 ,         5
west2021.mtx        ,   2021 ,   2021 ,     7353 ,serial  ,   0.045750 ,      0.044000 ,    0.043000 , 0.321443 ,    0.334227 ,0.342000   ,     1 ,         5
west2021.mtx        ,   2021 ,   2021 ,     7353 ,cudaCSR ,   0.010808 ,      0.010688 ,    0.009504 , 1.360659 ,    1.375936 ,1.547349   ,     1 ,         5
west2021.mtx        ,   2021 ,   2021 ,     7353 ,cudaHLL ,   0.011096 ,      0.011008 ,    0.010240 , 1.325342 ,    1.335937 ,1.436133   ,     1 ,         5
