Matrix,M,N,NZ,Mode,Threads,AvgTime(ms),MedianTime(ms),BestTime(ms),AvgGFlops,MedianGFlops,BestGFlops,Passed,Iterations
af_1_k101,503625,503625,17550675,ompHLL,33,9.230554,9.004967,8.279324,3.802735,3.897999,4.239640,1,5
af23560,23560,23560,484256,serial,1,0.447108,0.443603,0.431614,2.166171,2.183288,2.243931,1,5
af23560,23560,23560,484256,ompCSR,33,0.133439,0.128576,0.113679,7.258088,7.532603,8.519711,1,5
af23560,23560,23560,484256,ompHLL,33,0.348171,0.338550,0.302964,2.781714,2.860765,3.196789,1,5
amazon0302,262111,262111,1234877,serial,1,2.991916,2.987979,2.984741,0.825476,0.826564,0.827460,1,5
amazon0302,262111,262111,1234877,ompCSR,33,0.463286,0.464495,0.363094,5.330952,5.317073,6.801968,1,5
amazon0302,262111,262111,1234877,ompHLL,33,0.864164,0.875732,0.664061,2.857968,2.820217,3.719168,1,5
bcsstk17,10974,10974,428650,serial,1,0.435742,0.433541,0.431735,1.967447,1.977435,1.985709,1,5
bcsstk17,10974,10974,428650,ompCSR,33,0.120137,0.121408,0.097189,7.136006,7.061285,8.820959,1,5
bcsstk17,10974,10974,428650,ompHLL,33,2.510630,2.523735,2.404101,0.341468,0.339695,0.356599,1,5
cage4,9,9,49,serial,1,0.000084,0.000079,0.000078,1.159922,1.240698,1.256438,1,5
cage4,9,9,49,ompCSR,33,0.021123,0.021082,0.018213,0.004639,0.004649,0.005381,1,5
cage4,9,9,49,ompHLL,33,0.018630,0.016729,0.015427,0.005260,0.005858,0.006352,1,5
cant,62451,62451,4007383,serial,1,4.704748,4.706458,4.699277,1.703548,1.702929,1.705532,1,5
cant,62451,62451,4007383,ompCSR,33,1.605669,1.526601,1.395453,4.991542,5.250073,5.743487,1,5
cant,62451,62451,4007383,ompHLL,33,3.616476,3.721329,3.167875,2.216181,2.153738,2.530013,1,5
cavity10,2597,2597,76367,serial,1,0.081426,0.080203,0.080141,1.875739,1.904354,1.905816,1,5
cavity10,2597,2597,76367,ompCSR,33,0.054569,0.054607,0.050389,2.798903,2.796968,3.031100,1,5
cavity10,2597,2597,76367,ompHLL,33,0.376716,0.350502,0.307546,0.405435,0.435758,0.496622,1,5
cop20k_A,121192,121192,2624331,serial,1,4.370418,4.370587,4.365871,1.200952,1.200906,1.202203,1,5
cop20k_A,121192,121192,2624331,ompCSR,33,1.232227,1.222656,1.043102,4.259494,4.292836,5.031782,1,5
cop20k_A,121192,121192,2624331,ompHLL,33,2.598217,2.654523,2.356955,2.020101,1.977252,2.226882,1,5
Cube_Coup_dt0,2164760,2164760,127206144,serial,1,154.873047,154.458420,154.297775,1.642715,1.647125,1.648840,1,5
Cube_Coup_dt0,2164760,2164760,127206144,ompCSR,33,72.198170,71.684174,70.685204,3.523805,3.549072,3.599230,1,5
Cube_Coup_dt0,2164760,2164760,127206144,ompHLL,33,78.449097,77.248629,76.719131,3.243024,3.293421,3.316152,1,5
dc1,116835,116835,766396,serial,1,0.885311,0.878526,0.875666,1.731361,1.744731,1.750430,1,5
dc1,116835,116835,766396,ompCSR,33,0.438496,0.427330,0.382764,3.495565,3.586901,4.004535,1,5
dc1,116835,116835,766396,ompHLL,33,177.297746,172.062951,165.311977,0.008645,0.008908,0.009272,1,5
FEM_3D_thermal1,17880,17880,430740,serial,1,0.397725,0.397455,0.395230,2.166018,2.167488,2.179693,1,5
FEM_3D_thermal1,17880,17880,430740,ompCSR,33,0.145441,0.147886,0.122393,5.923238,5.825298,7.038644,1,5
FEM_3D_thermal1,17880,17880,430740,ompHLL,33,0.451384,0.436473,0.416771,1.908530,1.973730,2.067034,1,5
lung2,109460,109460,492564,serial,1,0.533392,0.524150,0.519266,1.846912,1.879479,1.897155,1,5
lung2,109460,109460,492564,ompCSR,33,0.147586,0.143453,0.122932,6.674931,6.867230,8.013600,1,5
lung2,109460,109460,492564,ompHLL,33,0.404993,0.405636,0.279690,2.432457,2.428601,3.522214,1,5
mac_econ_fwd500,206500,206500,1273389,serial,1,1.500872,1.499788,1.489674,1.696866,1.698091,1.709621,1,5
mac_econ_fwd500,206500,206500,1273389,ompCSR,33,0.368225,0.342486,0.288961,6.916359,7.436152,8.813570,1,5
mac_econ_fwd500,206500,206500,1273389,ompHLL,33,4.369258,4.355266,4.094218,0.582886,0.584758,0.622043,1,5
mcfe,765,765,24382,serial,1,0.027500,0.027494,0.027491,1.773221,1.773625,1.773816,1,5
mcfe,765,765,24382,ompCSR,33,0.042855,0.041384,0.039217,1.137891,1.178331,1.243442,1,5
mcfe,765,765,24382,ompHLL,33,0.121522,0.123417,0.110388,0.401279,0.395116,0.441751,1,5
mhd4800a,4800,4800,102252,serial,1,0.103045,0.102063,0.101774,1.984614,2.003694,2.009393,1,5
mhd4800a,4800,4800,102252,ompCSR,33,0.067131,0.066602,0.064816,3.046342,3.070537,3.155148,1,5
