Matrix,Mode,Threads,Speedup_Avg,Speedup_Median
thermal1,ompHLL,4,1.772918,1.763694
thermal2,ompCSR,4,3.560188,3.566686
thermal2,ompHLL,4,1.864746,1.955736
thermomech_TK,ompCSR,4,2.435398,2.382516
thermomech_TK,ompHLL,4,1.496798,1.563981
webbase-1M,ompCSR,4,2.040536,2.031094
webbase-1M,ompHLL,4,.079004,.079022
west2021,ompCSR,4,.605723,.584088
west2021,ompHLL,4,.155971,.196160
adder_dcop_32,ompCSR,5,1.210888,1.167501
adder_dcop_32,ompHLL,5,.010251,.010306
af_1_k101,ompCSR,5,3.519946,3.527844
af_1_k101,ompHLL,5,2.977888,2.982042
af23560,ompCSR,5,2.325019,2.440125
af23560,ompHLL,5,1.421310,1.353601
amazon0302,ompCSR,5,3.669460,3.522676
amazon0302,ompHLL,5,2.263364,2.275002
bcsstk17,ompCSR,5,3.550302,3.380885
bcsstk17,ompHLL,5,.202480,.210789
cage4,ompCSR,5,.016579,.014042
cage4,ompHLL,5,.012727,.014884
cant,ompCSR,5,2.587081,2.719282
cant,ompHLL,5,1.664830,1.825326
cavity10,ompCSR,5,1.590030,1.470356
cavity10,ompHLL,5,.255076,.273232
cop20k_A,ompCSR,5,1.981466,1.979918
cop20k_A,ompHLL,5,.820515,.805792
Cube_Coup_dt0,ompCSR,5,3.052468,3.230365
Cube_Coup_dt0,ompHLL,5,2.032771,2.010263
dc1,ompCSR,5,1.819353,1.942399
dc1,ompHLL,5,.005718,.005781
FEM_3D_thermal1,ompCSR,5,3.130162,3.284440
FEM_3D_thermal1,ompHLL,5,1.076093,1.008674
lung2,ompCSR,5,2.650102,2.645462
lung2,ompHLL,5,.972327,.938045
mac_econ_fwd500,ompCSR,5,2.754406,2.821225
mac_econ_fwd500,ompHLL,5,.301871,.289745
mcfe,ompCSR,5,1.545439,1.543160
mcfe,ompHLL,5,.232280,.252232
mhd4800a,ompCSR,5,1.668971,1.646204
mhd4800a,ompHLL,5,.366507,.375525
mhda416,ompCSR,5,.843036,.974484
mhda416,ompHLL,5,.207559,.213074
mhda416,ompCSR,5,.819373,.841953
mhda416,ompHLL,5,.405241,.433991
ML_Laplace,ompCSR,5,3.337627,3.335486
ML_Laplace,ompHLL,5,2.746620,2.744797
nlpkkt80,ompCSR,5,3.014644,3.022900
nlpkkt80,ompHLL,5,2.543540,2.556430
olafu,ompCSR,5,3.178049,3.877206
olafu,ompHLL,5,.389288,.387987
olm1000,ompCSR,5,.369440,.375760
olm1000,ompHLL,5,.191326,.221344
PR02R,ompCSR,5,3.583447,3.591136
PR02R,ompHLL,5,1.422741,1.426075
raefsky2,ompCSR,5,3.424215,3.298548
raefsky2,ompHLL,5,.588672,.665277
rdist2,ompCSR,5,1.397692,1.566811
rdist2,ompHLL,5,.185049,.181581
roadNet-PA,ompCSR,5,3.127468,3.091245
roadNet-PA,ompHLL,5,1.497912,1.499883
thermal1,ompCSR,5,3.319690,3.275567
thermal1,ompHLL,5,1.603418,1.518050
thermal2,ompCSR,5,3.730132,3.714000
thermal2,ompHLL,5,2.209176,2.206416
thermomech_TK,ompCSR,5,3.063551,3.182502
thermomech_TK,ompHLL,5,1.634767,1.637613
webbase-1M,ompCSR,5,1.831236,1.835778
webbase-1M,ompHLL,5,.066082,.067977
west2021,ompCSR,5,.592767,.592474
west2021,ompHLL,5,.084318,.083847
adder_dcop_32,ompCSR,6,1.304269,1.309606
adder_dcop_32,ompHLL,6,.010450,.010607
af_1_k101,ompCSR,6,3.538885,3.553986
af_1_k101,ompHLL,6,2.917540,3.037675
af23560,ompCSR,6,2.930181,3.257291
af23560,ompHLL,6,1.418532,1.454821
amazon0302,ompCSR,6,3.770471,3.936420
amazon0302,ompHLL,6,2.025518,2.132937
bcsstk17,ompCSR,6,3.760560,4.049539
bcsstk17,ompHLL,6,.172698,.175857
cage4,ompCSR,6,.012236,.012745
cage4,ompHLL,6,.012829,.013125
cant,ompCSR,6,2.746834,2.796669
cant,ompHLL,6,1.527521,1.529007
cavity10,ompCSR,6,1.465171,1.615409
cavity10,ompHLL,6,.285427,.283737
cop20k_A,ompCSR,6,2.092939,2.088786
cop20k_A,ompHLL,6,1.057859,1.066373
Cube_Coup_dt0,ompCSR,6,2.997135,3.098312
Cube_Coup_dt0,ompHLL,6,1.840600,1.820111
dc1,ompCSR,6,2.360593,2.446848
dc1,ompHLL,6,.005550,.005666
FEM_3D_thermal1,ompCSR,6,2.492706,2.451679
FEM_3D_thermal1,ompHLL,6,1.103349,1.132434
lung2,ompCSR,6,3.002727,3.042486
lung2,ompHLL,6,1.272186,1.305130
mac_econ_fwd500,ompCSR,6,2.999568,3.005752
mac_econ_fwd500,ompHLL,6,.318481,.321848
mcfe,ompCSR,6,1.803654,1.937851
mcfe,ompHLL,6,.222640,.233366
mhd4800a,ompCSR,6,1.812720,1.942776
mhd4800a,ompHLL,6,.368737,.411884
mhda416,ompCSR,6,.708925,.732916
mhda416,ompHLL,6,.254940,.317382
mhda416,ompCSR,6,.718604,.734914
mhda416,ompHLL,6,.237503,.250743
ML_Laplace,ompCSR,6,3.412624,3.413270
ML_Laplace,ompHLL,6,3.065719,3.059676
nlpkkt80,ompCSR,6,3.066044,3.069284
nlpkkt80,ompHLL,6,2.616389,2.622160
olafu,ompCSR,6,3.578132,4.279153
olafu,ompHLL,6,.369427,.390335
olm1000,ompCSR,6,.278232,.290280
olm1000,ompHLL,6,.220622,.270081
PR02R,ompCSR,6,3.632964,3.638144
PR02R,ompHLL,6,1.368296,1.371340
raefsky2,ompCSR,6,3.063267,2.776047
raefsky2,ompHLL,6,.633519,.708507
rdist2,ompCSR,6,1.910715,1.857740
rdist2,ompHLL,6,.268892,.269225
roadNet-PA,ompCSR,6,3.473203,3.527275
roadNet-PA,ompHLL,6,1.884164,1.865031
thermal1,ompCSR,6,4.353257,4.246210
thermal1,ompHLL,6,1.790805,1.819682
thermal2,ompCSR,6,4.071401,4.010078
thermal2,ompHLL,6,2.426047,2.385474
thermomech_TK,ompCSR,6,3.419877,3.497156
thermomech_TK,ompHLL,6,1.825307,1.728351
webbase-1M,ompCSR,6,2.031531,2.025536
webbase-1M,ompHLL,6,.076757,.081051
west2021,ompCSR,6,.814527,.627617
west2021,ompHLL,6,.219331,.144470
adder_dcop_32,ompCSR,7,1.225611,1.439697
adder_dcop_32,ompHLL,7,.008939,.009041
af_1_k101,ompCSR,7,2.916204,3.598925
af_1_k101,ompHLL,7,3.208992,3.223380
af23560,ompCSR,7,3.013369,2.968128
af23560,ompHLL,7,1.389829,1.287729
amazon0302,ompCSR,7,4.833423,4.979201
amazon0302,ompHLL,7,2.656972,2.644467
bcsstk17,ompCSR,7,4.380183,4.309327
bcsstk17,ompHLL,7,.178266,.183674
cage4,ompCSR,7,.013181,.011904
cage4,ompHLL,7,.014403,.013240
cant,ompCSR,7,3.205461,3.277800
cant,ompHLL,7,1.437010,1.461769
cavity10,ompCSR,7,2.549463,2.560484
cavity10,ompHLL,7,.281771,.356092
cop20k_A,ompCSR,7,2.193558,2.148479
cop20k_A,ompHLL,7,.991815,1.022379
Cube_Coup_dt0,ompCSR,7,3.195136,3.244261
Cube_Coup_dt0,ompHLL,7,2.128689,2.108088
dc1,ompCSR,7,1.876696,1.842238
dc1,ompHLL,7,.005269,.005279
FEM_3D_thermal1,ompCSR,7,3.447035,3.459928
FEM_3D_thermal1,ompHLL,7,1.109978,1.137202
lung2,ompCSR,7,3.166508,3.044998
lung2,ompHLL,7,.998525,.986041
mac_econ_fwd500,ompCSR,7,3.176611,3.299938
mac_econ_fwd500,ompHLL,7,.289618,.277394
mcfe,ompCSR,7,1.707441,1.698671
mcfe,ompHLL,7,.285033,.303410
mhd4800a,ompCSR,7,3.002009,2.854297
mhd4800a,ompHLL,7,.489397,.488467
mhda416,ompCSR,7,.643336,.650199
mhda416,ompHLL,7,.215025,.220157
mhda416,ompCSR,7,.689063,.905084
mhda416,ompHLL,7,.258774,.244173
ML_Laplace,ompCSR,7,3.423072,3.431815
ML_Laplace,ompHLL,7,2.861267,2.869240
nlpkkt80,ompCSR,7,3.095190,3.101198
nlpkkt80,ompHLL,7,2.644537,2.650662
olafu,ompCSR,7,4.283239,4.143329
olafu,ompHLL,7,.441315,.447710
olm1000,ompCSR,7,.274715,.270617
olm1000,ompHLL,7,.314784,.315235
PR02R,ompCSR,7,3.716646,3.721219
PR02R,ompHLL,7,1.762217,1.771326
raefsky2,ompCSR,7,3.937628,4.108947
raefsky2,ompHLL,7,.678719,.679293
rdist2,ompCSR,7,2.374589,2.353490
rdist2,ompHLL,7,.176258,.190452
roadNet-PA,ompCSR,7,4.539894,4.660744
roadNet-PA,ompHLL,7,2.122620,2.135774
thermal1,ompCSR,7,4.246440,4.091554
thermal1,ompHLL,7,2.310245,2.217550
thermal2,ompCSR,7,4.385345,4.377004
thermal2,ompHLL,7,2.603094,2.607051
thermomech_TK,ompCSR,7,3.815982,3.650554
thermomech_TK,ompHLL,7,1.733061,1.637262
webbase-1M,ompCSR,7,2.356487,2.358040
webbase-1M,ompHLL,7,.077747,.074120
west2021,ompCSR,7,.516275,.508864
west2021,ompHLL,7,.139228,.144316
adder_dcop_32,ompCSR,8,.989602,.958814
adder_dcop_32,ompHLL,8,.008900,.009123
af_1_k101,ompCSR,8,3.365486,3.587361
af_1_k101,ompHLL,8,3.155253,3.225650
af23560,ompCSR,8,2.483957,2.495132
af23560,ompHLL,8,1.217278,1.399272
amazon0302,ompCSR,8,4.848468,4.980412
amazon0302,ompHLL,8,2.689991,2.664461
bcsstk17,ompCSR,8,5.182556,5.256748
bcsstk17,ompHLL,8,.285510,.291770
cage4,ompCSR,8,.014654,.013278
cage4,ompHLL,8,.014127,.013850
cant,ompCSR,8,2.821437,3.042974
cant,ompHLL,8,1.480580,1.497913
cavity10,ompCSR,8,2.813275,2.845828
cavity10,ompHLL,8,.290170,.298427
cop20k_A,ompCSR,8,2.211617,2.207453
cop20k_A,ompHLL,8,1.043140,.993538
Cube_Coup_dt0,ompCSR,8,3.127300,3.212732
Cube_Coup_dt0,ompHLL,8,2.086545,1.997311
dc1,ompCSR,8,2.576638,2.680325
dc1,ompHLL,8,.005228,.005351
FEM_3D_thermal1,ompCSR,8,4.345054,4.214085
FEM_3D_thermal1,ompHLL,8,1.133261,1.173114
lung2,ompCSR,8,3.177278,3.136184
lung2,ompHLL,8,1.225907,1.223260
mac_econ_fwd500,ompCSR,8,3.796200,4.067006
mac_econ_fwd500,ompHLL,8,.295434,.286629
mcfe,ompCSR,8,1.681785,1.611549
mcfe,ompHLL,8,.254146,.264833
mhd4800a,ompCSR,8,2.513878,2.578742
mhd4800a,ompHLL,8,.524234,.524468
mhda416,ompCSR,8,.756508,.757185
mhda416,ompHLL,8,.275045,.289403
mhda416,ompCSR,8,.606835,.585438
mhda416,ompHLL,8,.212689,.217457
ML_Laplace,ompCSR,8,3.424248,3.423253
ML_Laplace,ompHLL,8,3.064860,3.162566
nlpkkt80,ompCSR,8,3.145331,3.133577
nlpkkt80,ompHLL,8,2.701148,2.692429
olafu,ompCSR,8,4.180799,4.284575
olafu,ompHLL,8,.480422,.515697
olm1000,ompCSR,8,.219858,.223267
olm1000,ompHLL,8,.150677,.150759
PR02R,ompCSR,8,3.776018,3.788560
PR02R,ompHLL,8,1.721037,1.734497
raefsky2,ompCSR,8,2.866365,3.022206
raefsky2,ompHLL,8,.480673,.524764
rdist2,ompCSR,8,1.670228,1.735231
rdist2,ompHLL,8,.139489,.137463
roadNet-PA,ompCSR,8,3.969777,4.101536
roadNet-PA,ompHLL,8,1.842359,1.773207
thermal1,ompCSR,8,4.299407,5.089848
thermal1,ompHLL,8,1.797412,1.781210
thermal2,ompCSR,8,4.322225,4.340823
thermal2,ompHLL,8,2.568466,2.575677
thermomech_TK,ompCSR,8,3.950759,3.776133
thermomech_TK,ompHLL,8,1.808842,1.627706
webbase-1M,ompCSR,8,2.111787,2.140814
webbase-1M,ompHLL,8,.086766,.087353
west2021,ompCSR,8,.412399,.407023
west2021,ompHLL,8,.159789,.166660
adder_dcop_32,ompCSR,9,1.170250,1.163913
adder_dcop_32,ompHLL,9,.009866,.009912
af_1_k101,ompCSR,9,3.496621,3.527405
af_1_k101,ompHLL,9,3.165883,3.189241
af23560,ompCSR,9,3.955101,3.989201
af23560,ompHLL,9,1.476791,1.462089
amazon0302,ompCSR,9,4.822837,5.020255
amazon0302,ompHLL,9,2.801630,2.732191
bcsstk17,ompCSR,9,4.853937,4.608437
bcsstk17,ompHLL,9,.198295,.196126
cage4,ompCSR,9,.010696,.011092
